frame,posse,pct_a,pct_b
0,none,50.0,50.0
2,none,50.0,50.0
4,none,50.0,50.0
6,none,50.0,50.0
8,none,50.0,50.0
10,none,50.0,50.0
12,none,50.0,50.0
14,none,50.0,50.0
16,none,50.0,50.0
18,none,50.0,50.0
20,none,50.0,50.0
22,none,50.0,50.0
24,none,50.0,50.0
26,none,50.0,50.0
28,none,50.0,50.0
30,none,50.0,50.0
32,none,50.0,50.0
34,none,50.0,50.0
36,none,50.0,50.0
38,none,50.0,50.0
40,none,50.0,50.0
42,none,50.0,50.0
44,none,50.0,50.0
46,none,50.0,50.0
48,A,100.0,0.0
50,none,100.0,0.0
52,none,100.0,0.0
54,none,100.0,0.0
56,none,100.0,0.0
58,none,100.0,0.0
60,none,100.0,0.0
62,none,100.0,0.0
64,none,100.0,0.0
66,none,100.0,0.0
68,none,100.0,0.0
70,none,100.0,0.0
72,none,100.0,0.0
74,none,100.0,0.0
76,none,100.0,0.0
78,none,100.0,0.0
80,none,100.0,0.0
82,none,100.0,0.0
84,none,100.0,0.0
86,none,100.0,0.0
88,none,100.0,0.0
90,none,100.0,0.0
92,none,100.0,0.0
94,none,100.0,0.0
96,none,100.0,0.0
98,none,100.0,0.0
100,none,100.0,0.0
102,none,100.0,0.0
104,none,100.0,0.0
106,none,100.0,0.0
108,none,100.0,0.0
110,none,100.0,0.0
112,none,100.0,0.0
114,none,100.0,0.0
116,none,100.0,0.0
118,none,100.0,0.0
120,none,100.0,0.0
122,none,100.0,0.0
124,none,100.0,0.0
126,none,100.0,0.0
128,none,100.0,0.0
130,none,100.0,0.0
132,none,100.0,0.0
134,none,100.0,0.0
136,none,100.0,0.0
138,none,100.0,0.0
140,none,100.0,0.0
142,none,100.0,0.0
144,none,100.0,0.0
146,none,100.0,0.0
148,none,100.0,0.0
150,none,100.0,0.0
152,none,100.0,0.0
154,none,100.0,0.0
156,none,100.0,0.0
158,none,100.0,0.0
160,none,100.0,0.0
162,none,100.0,0.0
164,none,100.0,0.0
166,none,100.0,0.0
168,none,100.0,0.0
170,none,100.0,0.0
172,none,100.0,0.0
174,none,100.0,0.0
176,none,100.0,0.0
178,none,100.0,0.0
180,none,100.0,0.0
182,none,100.0,0.0
184,none,100.0,0.0
186,none,100.0,0.0
188,none,100.0,0.0
190,none,100.0,0.0
192,none,100.0,0.0
194,none,100.0,0.0
196,none,100.0,0.0
198,none,100.0,0.0
200,none,100.0,0.0
202,none,100.0,0.0
204,none,100.0,0.0
206,none,100.0,0.0
208,none,100.0,0.0
210,none,100.0,0.0
212,none,100.0,0.0
214,none,100.0,0.0
216,none,100.0,0.0
218,none,100.0,0.0
220,none,100.0,0.0
222,none,100.0,0.0
224,none,100.0,0.0
226,none,100.0,0.0
228,none,100.0,0.0
230,none,100.0,0.0
232,none,100.0,0.0
234,none,100.0,0.0
236,none,100.0,0.0
238,none,100.0,0.0
240,none,100.0,0.0
242,none,100.0,0.0
244,none,100.0,0.0
246,none,100.0,0.0
248,none,100.0,0.0
250,none,100.0,0.0
252,none,100.0,0.0
254,none,100.0,0.0
256,none,100.0,0.0
258,none,100.0,0.0
260,none,100.0,0.0
262,none,100.0,0.0
264,none,100.0,0.0
266,none,100.0,0.0
268,none,100.0,0.0
270,none,100.0,0.0
272,none,100.0,0.0
274,none,100.0,0.0
276,none,100.0,0.0
278,none,100.0,0.0
280,none,100.0,0.0
282,none,100.0,0.0
284,none,100.0,0.0
286,none,100.0,0.0
288,none,100.0,0.0
290,none,100.0,0.0
292,none,100.0,0.0
294,none,100.0,0.0
296,none,100.0,0.0
298,none,100.0,0.0
300,none,100.0,0.0
302,none,100.0,0.0
304,none,100.0,0.0
306,none,100.0,0.0
308,none,100.0,0.0
310,none,100.0,0.0
312,none,100.0,0.0
314,none,100.0,0.0
316,none,100.0,0.0
318,none,100.0,0.0
320,none,100.0,0.0
322,none,100.0,0.0
324,none,100.0,0.0
326,none,100.0,0.0
328,none,100.0,0.0
330,none,100.0,0.0
332,none,100.0,0.0
334,none,100.0,0.0
336,none,100.0,0.0
338,none,100.0,0.0
340,none,100.0,0.0
342,none,100.0,0.0
344,none,100.0,0.0
346,none,100.0,0.0
348,none,100.0,0.0
350,none,100.0,0.0
352,none,100.0,0.0
354,none,100.0,0.0
356,none,100.0,0.0
358,none,100.0,0.0
360,none,100.0,0.0
362,none,100.0,0.0
364,none,100.0,0.0
366,none,100.0,0.0
368,none,100.0,0.0
370,none,100.0,0.0
372,none,100.0,0.0
374,none,100.0,0.0
376,none,100.0,0.0
378,none,100.0,0.0
380,none,100.0,0.0
382,none,100.0,0.0
384,none,100.0,0.0
386,none,100.0,0.0
388,none,100.0,0.0
390,none,100.0,0.0
392,none,100.0,0.0
394,none,100.0,0.0
396,none,100.0,0.0
398,none,100.0,0.0
400,none,100.0,0.0
402,none,100.0,0.0
404,none,100.0,0.0
406,none,100.0,0.0
408,none,100.0,0.0
410,none,100.0,0.0
412,none,100.0,0.0
414,none,100.0,0.0
416,none,100.0,0.0
418,none,100.0,0.0
420,A,100.0,0.0
422,A,100.0,0.0
424,A,100.0,0.0
426,A,100.0,0.0
428,A,100.0,0.0
430,A,100.0,0.0
432,A,100.0,0.0
434,A,100.0,0.0
436,A,100.0,0.0
438,A,100.0,0.0
440,A,100.0,0.0
442,A,100.0,0.0
444,A,100.0,0.0
446,A,100.0,0.0
448,A,100.0,0.0
450,none,100.0,0.0
452,none,100.0,0.0
454,none,100.0,0.0
456,none,100.0,0.0
458,none,100.0,0.0
460,none,100.0,0.0
462,none,100.0,0.0
464,none,100.0,0.0
466,none,100.0,0.0
468,none,100.0,0.0
470,none,100.0,0.0
472,none,100.0,0.0
474,none,100.0,0.0
476,none,100.0,0.0
478,none,100.0,0.0
480,none,100.0,0.0
482,none,100.0,0.0
484,none,100.0,0.0
486,none,100.0,0.0
488,none,100.0,0.0
490,none,100.0,0.0
492,none,100.0,0.0
494,none,100.0,0.0
496,none,100.0,0.0
498,none,100.0,0.0
500,none,100.0,0.0
502,none,100.0,0.0
504,none,100.0,0.0
506,none,100.0,0.0
508,none,100.0,0.0
510,none,100.0,0.0
512,none,100.0,0.0
514,none,100.0,0.0
516,none,100.0,0.0
518,none,100.0,0.0
520,none,100.0,0.0
522,none,100.0,0.0
524,none,100.0,0.0
526,none,100.0,0.0
528,none,100.0,0.0
530,none,100.0,0.0
532,none,100.0,0.0
534,none,100.0,0.0
536,none,100.0,0.0
538,none,100.0,0.0
540,none,100.0,0.0
542,none,100.0,0.0
544,none,100.0,0.0
546,none,100.0,0.0
548,none,100.0,0.0
550,none,100.0,0.0
552,none,100.0,0.0
554,none,100.0,0.0
556,none,100.0,0.0
558,none,100.0,0.0
560,none,100.0,0.0
562,none,100.0,0.0
564,none,100.0,0.0
566,none,100.0,0.0
568,none,100.0,0.0
570,none,100.0,0.0
572,none,100.0,0.0
574,none,100.0,0.0
576,none,100.0,0.0
578,none,100.0,0.0
580,none,100.0,0.0
582,none,100.0,0.0
584,none,100.0,0.0
586,A,100.0,0.0
588,none,100.0,0.0
590,none,100.0,0.0
592,none,100.0,0.0
594,none,100.0,0.0
596,none,100.0,0.0
598,none,100.0,0.0
600,none,100.0,0.0
602,none,100.0,0.0
604,none,100.0,0.0
606,none,100.0,0.0
608,none,100.0,0.0
610,none,100.0,0.0
612,none,100.0,0.0
614,none,100.0,0.0
616,none,100.0,0.0
618,none,100.0,0.0
620,none,100.0,0.0
622,none,100.0,0.0
624,none,100.0,0.0
626,none,100.0,0.0
628,A,100.0,0.0
630,A,100.0,0.0
632,A,100.0,0.0
634,A,100.0,0.0
636,A,100.0,0.0
638,A,100.0,0.0
640,A,100.0,0.0
642,A,100.0,0.0
644,A,100.0,0.0
646,A,100.0,0.0
648,none,100.0,0.0
650,none,100.0,0.0
652,A,100.0,0.0
654,A,100.0,0.0
656,A,100.0,0.0
658,A,100.0,0.0
660,A,100.0,0.0
662,A,100.0,0.0
664,A,100.0,0.0
666,A,100.0,0.0
668,A,100.0,0.0
670,A,100.0,0.0
672,A,100.0,0.0
674,none,100.0,0.0
676,A,100.0,0.0
678,A,100.0,0.0
680,A,100.0,0.0
682,none,100.0,0.0
684,B,97.6,2.4
686,B,95.3,4.7
688,B,93.2,6.8
690,A,93.3,6.7
692,A,93.5,6.5
694,none,93.5,6.5
696,A,93.6,6.4
698,none,93.6,6.4
700,A,93.8,6.2
702,A,93.9,6.1
704,none,93.9,6.1
706,none,93.9,6.1
708,none,93.9,6.1
710,none,93.9,6.1
712,none,93.9,6.1
714,none,93.9,6.1
716,none,93.9,6.1
718,A,94.0,6.0
720,A,94.1,5.9
722,A,94.2,5.8
724,A,94.3,5.7
726,A,94.4,5.6
728,A,94.5,5.5
730,A,94.6,5.4
732,A,94.7,5.3
734,A,94.8,5.2
736,none,94.8,5.2
738,none,94.8,5.2
740,A,94.9,5.1
742,none,94.9,5.1
744,none,94.9,5.1
746,none,94.9,5.1
748,A,95.0,5.0
750,A,95.1,4.9
752,A,95.2,4.8
754,A,95.2,4.8
756,none,95.2,4.8
758,A,95.3,4.7
760,A,95.4,4.6
762,A,95.5,4.5
764,A,95.5,4.5
766,none,95.5,4.5
768,none,95.5,4.5
770,A,95.6,4.4
772,A,95.7,4.3
774,B,94.3,5.7
776,B,93.0,7.0
778,A,93.1,6.9
780,B,91.8,8.2
782,none,91.8,8.2
784,B,90.5,9.5
786,A,90.7,9.3
788,A,90.8,9.2
790,A,90.9,9.1
792,none,90.9,9.1
794,none,90.9,9.1
796,none,90.9,9.1
798,none,90.9,9.1
800,none,90.9,9.1
802,none,90.9,9.1
804,none,90.9,9.1
806,none,90.9,9.1
808,none,90.9,9.1
810,none,90.9,9.1
812,none,90.9,9.1
814,none,90.9,9.1
816,none,90.9,9.1
818,none,90.9,9.1
820,none,90.9,9.1
822,none,90.9,9.1
824,none,90.9,9.1
826,none,90.9,9.1
828,none,90.9,9.1
830,none,90.9,9.1
832,none,90.9,9.1
834,none,90.9,9.1
836,none,90.9,9.1
838,none,90.9,9.1
840,none,90.9,9.1
842,none,90.9,9.1
844,none,90.9,9.1
846,none,90.9,9.1
848,none,90.9,9.1
850,none,90.9,9.1
852,none,90.9,9.1
854,none,90.9,9.1
856,none,90.9,9.1
858,none,90.9,9.1
860,none,90.9,9.1
862,none,90.9,9.1
864,none,90.9,9.1
866,none,90.9,9.1
868,none,90.9,9.1
870,none,90.9,9.1
872,none,90.9,9.1
874,none,90.9,9.1
876,none,90.9,9.1
878,none,90.9,9.1
880,none,90.9,9.1
882,none,90.9,9.1
884,none,90.9,9.1
886,none,90.9,9.1
888,none,90.9,9.1
890,none,90.9,9.1
892,none,90.9,9.1
894,none,90.9,9.1
896,none,90.9,9.1
898,none,90.9,9.1
900,A,91.0,9.0
902,none,91.0,9.0
904,none,91.0,9.0
906,none,91.0,9.0
908,none,91.0,9.0
910,none,91.0,9.0
912,none,91.0,9.0
914,none,91.0,9.0
916,none,91.0,9.0
918,none,91.0,9.0
920,none,91.0,9.0
922,none,91.0,9.0
924,none,91.0,9.0
926,none,91.0,9.0
928,none,91.0,9.0
930,none,91.0,9.0
932,none,91.0,9.0
934,none,91.0,9.0
936,none,91.0,9.0
938,none,91.0,9.0
940,none,91.0,9.0
942,none,91.0,9.0
944,none,91.0,9.0
946,none,91.0,9.0
948,none,91.0,9.0
950,none,91.0,9.0
952,none,91.0,9.0
954,none,91.0,9.0
956,none,91.0,9.0
958,none,91.0,9.0
960,none,91.0,9.0
962,none,91.0,9.0
964,none,91.0,9.0
966,none,91.0,9.0
968,none,91.0,9.0
970,none,91.0,9.0
972,none,91.0,9.0
974,none,91.0,9.0
976,none,91.0,9.0
978,none,91.0,9.0
980,none,91.0,9.0
982,none,91.0,9.0
984,none,91.0,9.0
986,none,91.0,9.0
988,none,91.0,9.0
990,none,91.0,9.0
992,none,91.0,9.0
994,none,91.0,9.0
996,none,91.0,9.0
998,none,91.0,9.0
1000,none,91.0,9.0
1002,none,91.0,9.0
1004,none,91.0,9.0
1006,none,91.0,9.0
1008,none,91.0,9.0
1010,none,91.0,9.0
1012,none,91.0,9.0
1014,none,91.0,9.0
1016,none,91.0,9.0
1018,none,91.0,9.0
1020,none,91.0,9.0
1022,none,91.0,9.0
1024,none,91.0,9.0
1026,none,91.0,9.0
1028,none,91.0,9.0
1030,none,91.0,9.0
1032,none,91.0,9.0
1034,none,91.0,9.0
1036,none,91.0,9.0
1038,none,91.0,9.0
1040,none,91.0,9.0
